time,event
757.033,(11) Correct Guess: apple
759.503,(10) Correct Guess: coconut
761.853,(9) Correct Guess: pineapple
764.033,"(8) Incorrect Guess: pineapple, mistyped i'm tired"
767.273,(8) Correct Guess: pineapple
768.653,(7) Correct Guess: apple
770.243,(6) Correct Guess: coconut
772.213,(5) Correct Guess: pineapple
773.743,(4) Correct Guess: banana
774.923,(3) Correct Guess: banana
775.943,(2) Correct Guess: banana
778.113,(1) Correct Guess: pineapple
778.113,"Ended with: 1 mistakes, 51 earned, 33 in game time passed"
781.353,Rated themselves: 2
781.353,"i:(0,1007) Job UberEats - SF now available"
781.353,"Entered home screen, displayed jobs: [""i:(0,1007) UberEats - SF: 0 waitTime, 30 timeLimit"",""i:(1,3256) Uber - SF: 1 waitTime, 17 timeLimit"",""i:(2,4478) UberEats - Berkeley: 44 waitTime, 30 timeLimit"",""i:(3,1483) Uber - Berkeley: 9 waitTime, 17 timeLimit""]"
781.353,"i:(0,984) Job UberEats - SF now available"
782.212,"Task UberEats - SF was started with: 10 steps, 30 timeLimit, 60 hardLimit"
785.353,(10) Correct Guess: banana
787.963,(9) Correct Guess: pineapple
789.463,(8) Correct Guess: coconut
790.763,(7) Correct Guess: banana
792.573,(6) Correct Guess: pineapple
794.913,(5) Correct Guess: pineapple
797.593,(4) Correct Guess: banana
798.813,(3) Correct Guess: apple
800.262,(2) Correct Guess: coconut
801.633,(1) Correct Guess: coconut
801.633,"Ended with: 0 mistakes, 30 earned, 19 in game time passed"
804.882,Rated themselves: 3
804.882,"i:(3,1534) Job Uber - Berkeley now available"
804.882,"Entered home screen, displayed jobs: [""i:(0,4439) UberEats - SF: 37 waitTime, 47 timeLimit"",""i:(1,385) Uber - SF: 3 waitTime, 16 timeLimit"",""i:(2,4481) UberEats - Berkeley: 5 waitTime, 47 timeLimit"",""i:(3,1534) Uber - Berkeley: 0 waitTime, 19 timeLimit""]"
804.882,"i:(3,3438) Job Uber - Berkeley now available"
807.902,"i:(1,642) Job Uber - SF now available"
809.903,"i:(2,3509) Job UberEats - Berkeley now available"
839.972,"Task UberEats - Berkeley was started with: 15 steps, 47 timeLimit, 62 hardLimit"
844.463,(15) Correct Guess: coconut
845.773,(14) Correct Guess: apple
848.263,(13) Correct Guess: apple
849.713,(12) Correct Guess: banana
851.713,(11) Correct Guess: apple
853.793,(10) Correct Guess: pineapple
855.373,(9) Correct Guess: coconut
856.823,(8) Correct Guess: coconut
858.723,(7) Correct Guess: pineapple
860.063,(6) Correct Guess: banana
861.403,(5) Correct Guess: apple
863.053,(4) Correct Guess: coconut
864.423,(3) Correct Guess: banana
866.113,(2) Correct Guess: coconut
867.633,(1) Correct Guess: banana
867.633,"Ended with: 0 mistakes, 47 earned, 27 in game time passed"
870.793,Rated themselves: 3
870.793,"Entered home screen, displayed jobs: [""i:(0,1081) UberEats - SF: 22 waitTime, 45 timeLimit"",""i:(1,4010) Uber - SF: 3 waitTime, 26 timeLimit"",""i:(2,2971) UberEats - Berkeley: 32 waitTime, 48 timeLimit"",""i:(3,668) Uber - Berkeley: 10 waitTime, 21 timeLimit""]"
873.803,"i:(1,502) Job Uber - SF now available"
880.802,"i:(3,3229) Job Uber - Berkeley now available"
892.803,"i:(0,1685) Job UberEats - SF now available"
902.803,"i:(2,4286) Job UberEats - Berkeley now available"
904.973,"Task UberEats - SF was started with: 15 steps, 45 timeLimit, 84 hardLimit"
908.103,(15) Correct Guess: coconut
909.373,(14) Correct Guess: banana
911.793,(13) Correct Guess: pineapple
913.813,(12) Correct Guess: pineapple
915.293,(11) Correct Guess: apple
917.273,(10) Correct Guess: pineapple
919.123,(9) Correct Guess: coconut
